Time,People Inside,Entries,Exits,Zone1,Zone2,Zone3,Zone4
18:37:28,0,0,0,0,0,0,0
18:52:06,1,1,1,0,1,0,0
18:52:07,1,1,1,0,1,0,0
18:52:08,1,1,1,0,1,0,0
18:53:55,1,2,2,0,1,0,0
15:38:31,Zone1,0
15:38:36,Zone1,0
15:38:36,Zone2,1
15:38:36,Zone3,0
15:38:41,Zone1,1
15:38:41,Zone2,0
15:38:41,Zone3,0
15:38:46,Zone1,0
15:38:46,Zone2,1
15:38:46,Zone3,0
15:38:51,Zone1,0
15:38:51,Zone2,0
15:38:51,Zone3,0
15:38:56,Zone1,0
15:38:56,Zone2,0
15:38:56,Zone3,0
15:39:01,Zone1,0
15:39:01,Zone2,1
15:39:01,Zone3,0
15:39:06,Zone1,0
15:39:06,Zone2,1
15:39:06,Zone3,0
15:39:11,Zone1,0
15:39:11,Zone2,0
15:39:11,Zone3,0
15:39:16,Zone1,1
15:39:16,Zone2,0
15:39:16,Zone3,0
15:39:21,Zone1,0
15:39:21,Zone2,1
15:39:21,Zone3,0
15:39:26,Zone1,0
15:39:26,Zone2,0
15:39:26,Zone3,0
15:39:31,Zone1,0
15:39:31,Zone2,0
15:39:31,Zone3,0
15:39:36,Zone1,0
15:39:36,Zone2,0
15:39:36,Zone3,0
20:41:31,Zone1,0
20:41:31,Zone2,0
